epoch,f1_score,prec_macro,step,test_loss_epoch,test_loss_step,train_loss_epoch,train_loss_step,val_loss_epoch,val_loss_step
0,,,9,,,,0.6136806607246399,,
,,,0,,,,,,0.5107595920562744
,,,1,,,,,,0.6251373887062073
,,,2,,,,,,0.5067847371101379
,,,3,,,,,,0.4053807854652405
,,,4,,,,,,0.4626731872558594
,,,5,,,,,,0.44930487871170044
,,,6,,,,,,0.4765944182872772
,,,7,,,,,,0.5402263402938843
,,,8,,,,,,0.4555191993713379
,,,9,,,,,,0.408608615398407
0,0.8669047951698303,0.8726911544799805,18,,,,,0.4919082224369049,
0,,,18,,,0.6154370307922363,,,
1,,,19,,,,0.4962620735168457,,
1,,,29,,,,0.4186573028564453,,
,,,10,,,,,,0.3668239116668701
,,,11,,,,,,0.4416860342025757
,,,12,,,,,,0.3567352890968323
,,,13,,,,,,0.33222973346710205
,,,14,,,,,,0.39953720569610596
,,,15,,,,,,0.3937861919403076
,,,16,,,,,,0.40348339080810547
,,,17,,,,,,0.5170564651489258
,,,18,,,,,,0.37201201915740967
,,,19,,,,,,0.3301759958267212
1,0.9259583353996277,0.9234095215797424,37,,,,,0.39768123626708984,
1,,,37,,,0.4232637584209442,,,
2,,,39,,,,0.33475396037101746,,
2,,,49,,,,0.3612890839576721,,
,,,20,,,,,,0.3600634038448334
,,,21,,,,,,0.4245230555534363
,,,22,,,,,,0.3549060821533203
,,,23,,,,,,0.337718665599823
,,,24,,,,,,0.37745851278305054
,,,25,,,,,,0.377178430557251
,,,26,,,,,,0.34839558601379395
,,,27,,,,,,0.49695348739624023
,,,28,,,,,,0.3311992883682251
,,,29,,,,,,0.31522464752197266
2,0.9435275793075562,0.941105306148529,56,,,,,0.3782728910446167,
2,,,56,,,0.3579285740852356,,,
3,,,59,,,,0.3435264825820923,,
3,,,69,,,,0.3518615961074829,,
,,,30,,,,,,0.3555336594581604
,,,31,,,,,,0.3988298773765564
,,,32,,,,,,0.35038691759109497
,,,33,,,,,,0.337935209274292
,,,34,,,,,,0.37584003806114197
,,,35,,,,,,0.374992311000824
,,,36,,,,,,0.3298622965812683
,,,37,,,,,,0.4775138795375824
,,,38,,,,,,0.32150721549987793
,,,39,,,,,,0.3152722716331482
3,0.9469996690750122,0.9448484778404236,75,,,,,0.368784099817276,
3,,,75,,,0.3404451012611389,,,
4,,,79,,,,0.3221196234226227,,
4,,,89,,,,0.3507018983364105,,
,,,40,,,,,,0.3542836308479309
,,,41,,,,,,0.399336040019989
,,,42,,,,,,0.33663609623908997
,,,43,,,,,,0.3310433030128479
,,,44,,,,,,0.3712800145149231
,,,45,,,,,,0.37666940689086914
,,,46,,,,,,0.3322570323944092
,,,47,,,,,,0.47694477438926697
,,,48,,,,,,0.3198571503162384
,,,49,,,,,,0.31397104263305664
4,0.9505866169929504,0.9481223225593567,94,,,,,0.366116464138031,
4,,,94,,,0.32903414964675903,,,
5,,,99,,,,0.3464687168598175,,
5,,,109,,,,0.3224914073944092,,
,,,50,,,,,,0.35695981979370117
,,,51,,,,,,0.41136622428894043
,,,52,,,,,,0.33987969160079956
,,,53,,,,,,0.34137019515037537
,,,54,,,,,,0.35533905029296875
,,,55,,,,,,0.3758549690246582
,,,56,,,,,,0.3250668942928314
,,,57,,,,,,0.4644306004047394
,,,58,,,,,,0.3172910213470459
,,,59,,,,,,0.31348544359207153
5,0.9540663957595825,0.9518787860870361,113,,,,,0.3649270236492157,
5,,,113,,,0.3247218132019043,,,
6,,,119,,,,0.32538041472435,,
6,,,129,,,,0.31520336866378784,,
,,,60,,,,,,0.36770907044410706
,,,61,,,,,,0.39245736598968506
,,,62,,,,,,0.31871750950813293
,,,63,,,,,,0.32468220591545105
,,,64,,,,,,0.3713795244693756
,,,65,,,,,,0.37685245275497437
,,,66,,,,,,0.34216517210006714
,,,67,,,,,,0.4915081858634949
,,,68,,,,,,0.3207852244377136
,,,69,,,,,,0.3135300576686859
6,0.9435275793075562,0.941105306148529,132,,,,,0.3669905960559845,
6,,,132,,,0.3269318640232086,,,
7,,,139,,,,0.3536231517791748,,
7,,,149,,,,0.3185439705848694,,
,,,70,,,,,,0.3661015033721924
,,,71,,,,,,0.403251975774765
,,,72,,,,,,0.3461611866950989
,,,73,,,,,,0.3185521364212036
,,,74,,,,,,0.37417149543762207
,,,75,,,,,,0.3748696744441986
,,,76,,,,,,0.365669846534729
,,,77,,,,,,0.46731770038604736
,,,78,,,,,,0.3191710114479065
,,,79,,,,,,0.31336963176727295
7,0.9399330019950867,0.937818169593811,151,,,,,0.3701905906200409,
7,,,151,,,0.3326617479324341,,,
8,,,159,,,,0.32245999574661255,,
8,,,169,,,,0.3311803340911865,,
,,,80,,,,,,0.34925007820129395
,,,81,,,,,,0.4209963381290436
,,,82,,,,,,0.32000237703323364
,,,83,,,,,,0.31949758529663086
,,,84,,,,,,0.36359113454818726
,,,85,,,,,,0.3745484948158264
,,,86,,,,,,0.3474321961402893
,,,87,,,,,,0.46454769372940063
,,,88,,,,,,0.31651949882507324
,,,89,,,,,,0.31438037753105164
8,0.9506898522377014,0.9477719664573669,170,,,,,0.3637003004550934,
8,,,170,,,0.3249923288822174,,,
9,,,179,,,,0.31368255615234375,,
9,,,189,,,,0.31860652565956116,,
,,,90,,,,,,0.33131885528564453
,,,91,,,,,,0.39687037467956543
,,,92,,,,,,0.31635117530822754
,,,93,,,,,,0.3169381618499756
,,,94,,,,,,0.3561876714229584
,,,95,,,,,,0.37687134742736816
,,,96,,,,,,0.35021263360977173
,,,97,,,,,,0.4865003824234009
,,,98,,,,,,0.31694918870925903
,,,99,,,,,,0.3144652247428894
9,0.9577341675758362,0.9547646641731262,189,,,,,0.36059075593948364,
9,,,189,,,0.32141348719596863,,,
10,,,199,,,,0.31388694047927856,,
,,,100,,,,,,0.33941221237182617
,,,101,,,,,,0.3911898732185364
,,,102,,,,,,0.3186466693878174
,,,103,,,,,,0.31868767738342285
,,,104,,,,,,0.3471170663833618
,,,105,,,,,,0.3768033981323242
,,,106,,,,,,0.3465491533279419
,,,107,,,,,,0.4846078157424927
,,,108,,,,,,0.3150438070297241
,,,109,,,,,,0.31344568729400635
10,0.9577341675758362,0.9547646641731262,208,,,,,0.3594646155834198,
10,,,208,,,0.31888172030448914,,,
11,,,209,,,,0.31374871730804443,,
11,,,219,,,,0.34589117765426636,,
,,,110,,,,,,0.35042276978492737
,,,111,,,,,,0.3952972888946533
,,,112,,,,,,0.31959986686706543
,,,113,,,,,,0.3185805082321167
,,,114,,,,,,0.352887898683548
,,,115,,,,,,0.37580734491348267
,,,116,,,,,,0.3424479365348816
,,,117,,,,,,0.4603201746940613
,,,118,,,,,,0.3141079545021057
,,,119,,,,,,0.31329071521759033
11,0.9612162709236145,0.9584319591522217,227,,,,,0.358516126871109,
11,,,227,,,0.320176362991333,,,
12,,,229,,,,0.31703054904937744,,
12,,,239,,,,0.3136008381843567,,
,,,120,,,,,,0.3311672806739807
,,,121,,,,,,0.37668824195861816
,,,122,,,,,,0.318418025970459
,,,123,,,,,,0.3189675211906433
,,,124,,,,,,0.3567145764827728
,,,125,,,,,,0.3758186101913452
,,,126,,,,,,0.3440888524055481
,,,127,,,,,,0.4569389224052429
,,,128,,,,,,0.3142896890640259
,,,129,,,,,,0.3132985532283783
12,0.9577341675758362,0.9547646641731262,246,,,,,0.3545018434524536,
12,,,246,,,0.31885483860969543,,,
13,,,249,,,,0.3188231289386749,,
13,,,259,,,,0.31373539566993713,,
,,,130,,,,,,0.32483482360839844
,,,131,,,,,,0.3408033847808838
,,,132,,,,,,0.3160780370235443
,,,133,,,,,,0.31529948115348816
,,,134,,,,,,0.37025392055511475
,,,135,,,,,,0.37735867500305176
,,,136,,,,,,0.3446347415447235
,,,137,,,,,,0.45102083683013916
,,,138,,,,,,0.31507712602615356
,,,139,,,,,,0.3134133219718933
13,0.964778482913971,0.9617573022842407,265,,,,,0.35033920407295227,
13,,,265,,,0.31846001744270325,,,
14,,,269,,,,0.3134820759296417,,
14,,,279,,,,0.3142920732498169,,
,,,140,,,,,,0.32236215472221375
,,,141,,,,,,0.33037668466567993
,,,142,,,,,,0.3144822120666504
,,,143,,,,,,0.3147347569465637
,,,144,,,,,,0.37308046221733093
,,,145,,,,,,0.3777052164077759
,,,146,,,,,,0.3450400233268738
,,,147,,,,,,0.45755434036254883
,,,148,,,,,,0.3161205053329468
,,,149,,,,,,0.3135437071323395
14,0.9683325290679932,0.9651162624359131,284,,,,,0.3499092757701874,
14,,,284,,,0.31773123145103455,,,
15,,,289,,,,0.31405285000801086,,
15,,,299,,,,0.3136996328830719,,
,,,150,,,,,,0.33154577016830444
,,,151,,,,,,0.35254764556884766
,,,152,,,,,,0.31589600443840027
,,,153,,,,,,0.31658264994621277
,,,154,,,,,,0.3610931932926178
,,,155,,,,,,0.3761872947216034
,,,156,,,,,,0.34194326400756836
,,,157,,,,,,0.44625556468963623
,,,158,,,,,,0.31444647908210754
,,,159,,,,,,0.31336212158203125
15,0.9576456546783447,0.9551393985748291,303,,,,,0.3504643440246582,
15,,,303,,,0.3175986111164093,,,
16,,,309,,,,0.3136154115200043,,
16,,,319,,,,0.31553083658218384,,
,,,160,,,,,,0.3442361056804657
,,,161,,,,,,0.37562650442123413
,,,162,,,,,,0.31740450859069824
,,,163,,,,,,0.31798914074897766
,,,164,,,,,,0.3458825349807739
,,,165,,,,,,0.3760770559310913
,,,166,,,,,,0.33898597955703735
,,,167,,,,,,0.438051700592041
,,,168,,,,,,0.3138224184513092
,,,169,,,,,,0.31332486867904663
16,0.9611331224441528,0.9589090943336487,322,,,,,0.35174164175987244,
16,,,322,,,0.3174379765987396,,,
17,,,329,,,,0.31331321597099304,,
17,,,339,,,,0.3135221004486084,,
,,,170,,,,,,0.3419242203235626
,,,171,,,,,,0.37777405977249146
,,,172,,,,,,0.31720590591430664
,,,173,,,,,,0.31719982624053955
,,,174,,,,,,0.3455885648727417
,,,175,,,,,,0.3760014772415161
,,,176,,,,,,0.3362349271774292
,,,177,,,,,,0.4415910542011261
,,,178,,,,,,0.31376391649246216
,,,179,,,,,,0.31333625316619873
17,0.9611331224441528,0.9589090943336487,341,,,,,0.3516543507575989,
17,,,341,,,0.317344069480896,,,
18,,,349,,,,0.31360378861427307,,
18,,,359,,,,0.31338125467300415,,
,,,180,,,,,,0.33274197578430176
,,,181,,,,,,0.3656354546546936
,,,182,,,,,,0.31528690457344055
,,,183,,,,,,0.31546568870544434
,,,184,,,,,,0.34646961092948914
,,,185,,,,,,0.3766508400440216
,,,186,,,,,,0.34022992849349976
,,,187,,,,,,0.46549540758132935
,,,188,,,,,,0.3141442537307739
,,,189,,,,,,0.3134133219718933
18,0.9541646838188171,0.9514274597167969,360,,,,,0.35218849778175354,
18,,,360,,,0.3170967400074005,,,
19,,,369,,,,0.3159249722957611,,
19,,,379,,,,0.31330159306526184,,
,,,190,,,,,,0.33372068405151367
,,,191,,,,,,0.3759429454803467
,,,192,,,,,,0.31561052799224854
,,,193,,,,,,0.3154347240924835
,,,194,,,,,,0.3453661799430847
,,,195,,,,,,0.37543463706970215
,,,196,,,,,,0.3390212655067444
,,,197,,,,,,0.4467000961303711
,,,198,,,,,,0.3136974573135376
,,,199,,,,,,0.3133145868778229
19,0.9576456546783447,0.9551393985748291,379,,,,,0.3509528934955597,
19,,,379,,,0.318616658449173,,,
,,,0,,0.33372068405151367,,,,
,,,1,,0.3759429454803467,,,,
,,,2,,0.31561052799224854,,,,
,,,3,,0.3154347240924835,,,,
,,,4,,0.3453661799430847,,,,
,,,5,,0.37543463706970215,,,,
,,,6,,0.3390212655067444,,,,
,,,7,,0.4467000961303711,,,,
,,,8,,0.3136974573135376,,,,
,,,9,,0.3133145868778229,,,,
20,,,380,0.3509528934955597,,,,,
